,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
214,2020-11-10,5.25558,5.25558,5.16337,5.25558,4190.16
217,2020-11-16,5.34769,5.34769,5.20942,5.30163,6055.92
218,2020-11-17,5.30163,5.30163,5.11721,5.16337,10886.72
219,2020-11-18,5.25558,5.25558,5.11721,5.25558,1711.84
220,2020-11-19,5.25558,5.25558,5.16337,5.25558,4842.24
222,2020-11-23,5.20942,5.25558,5.16337,5.25558,1779.44
223,2020-11-24,5.25558,5.25558,5.16337,5.25558,1678.56
224,2020-11-25,5.25558,5.25558,5.20942,5.25558,14944.8
225,2020-11-26,5.20942,5.25558,5.20942,5.25558,6775.6
226,2020-11-27,5.25558,5.25558,5.16337,5.20942,23300.16
227,2020-11-30,5.16337,5.20942,5.07115,5.20942,13938.08
228,2020-12-01,5.20942,5.20942,5.07115,5.16337,6468.8
229,2020-12-02,5.16337,5.20942,5.11721,5.20942,1952.08
230,2020-12-03,5.16337,5.20942,5.16337,5.20942,1186.64
231,2020-12-04,5.16337,5.20942,5.11721,5.20942,6743.36
232,2020-12-07,5.20942,5.20942,5.11721,5.16337,2348.32
233,2020-12-08,5.11721,5.20942,5.11721,5.20942,1540.24
234,2020-12-09,5.20942,5.25558,5.16337,5.25558,6128.72
235,2020-12-10,5.25558,5.25558,5.16337,5.20942,4792.32
236,2020-12-11,5.16337,5.25558,5.16337,5.20942,2946.32
237,2020-12-14,5.20942,5.20942,5.16337,5.20942,1808.56
239,2020-12-16,5.20942,5.20942,5.16337,5.20942,5908.24
240,2020-12-17,5.20942,5.25558,5.20942,5.20942,365.04
242,2020-12-21,5.25558,5.25558,5.11721,5.16337,5501.6
243,2020-12-22,5.16337,5.20942,5.11721,5.16337,4256.72
244,2020-12-23,5.20942,5.20942,5.11721,5.16337,4738.24
245,2020-12-28,5.20942,5.20942,5.16337,5.20942,2081.04
246,2020-12-29,5.16337,5.25558,5.16337,5.25558,6943.04
247,2020-12-30,5.20942,5.25558,5.20942,5.25558,2121.6
248,2021-01-04,5.25558,5.25558,5.20942,5.25558,7864.48
249,2021-01-05,5.25558,5.25558,5.20942,5.25558,4565.6
250,2021-01-07,5.25558,5.34769,5.25558,5.34769,5913.44
251,2021-01-08,5.34769,5.34769,5.11721,5.25558,26932.88
252,2021-01-11,5.25558,5.30163,5.16337,5.30163,2224.56
253,2021-01-12,5.30163,5.30163,5.20942,5.30163,8190.0
254,2021-01-13,5.30163,5.30163,5.11721,5.30163,4857.84
255,2021-01-14,5.30163,5.34769,5.25558,5.30163,3841.76
256,2021-01-15,5.30163,5.34769,5.30163,5.34769,234.0
257,2021-01-18,5.34769,5.34769,5.20942,5.30163,613.6
258,2021-01-19,5.30163,5.30163,5.25558,5.30163,1246.96
259,2021-01-20,5.30163,5.30163,5.25558,5.30163,2890.16
260,2021-01-21,5.30163,5.34769,5.25558,5.30163,2581.28
261,2021-01-22,5.34769,5.34769,5.30163,5.34769,2587.52
262,2021-01-25,5.30163,5.34769,5.30163,5.34769,586.56
263,2021-01-26,5.34769,5.34769,5.25558,5.34769,374.4
264,2021-01-27,5.30163,5.34769,5.30163,5.34769,1953.12
265,2021-01-28,5.30163,5.30163,5.25558,5.30163,509.6
266,2021-01-29,5.30163,5.30163,5.25558,5.30163,642.72
267,2021-02-01,5.34769,5.34769,5.25558,5.34769,904.8
268,2021-02-02,5.25558,5.34769,5.25558,5.34769,78.0
269,2021-02-03,5.30163,5.34769,5.16337,5.30163,7262.32
270,2021-02-04,5.20942,5.34769,5.16337,5.16337,6579.04
271,2021-02-05,5.16337,5.25558,5.16337,5.25558,1987.44
272,2021-02-08,5.25558,5.34769,5.25558,5.34769,3087.76
273,2021-02-09,5.25558,5.25558,5.20942,5.25558,1461.2
274,2021-02-10,5.25558,5.34769,5.25558,5.25558,3329.04
275,2021-02-11,5.25558,5.34769,5.25558,5.30163,5228.08
276,2021-02-12,5.34769,5.34769,5.25558,5.34769,2624.96
277,2021-02-15,5.30163,5.53212,5.30163,5.39385,23903.36
278,2021-02-16,5.39385,5.4399,5.30163,5.39385,6316.96
280,2021-02-18,5.4399,5.48606,5.4399,5.48606,2273.44
281,2021-02-19,5.48606,5.53212,5.48606,5.48606,6521.84
282,2021-02-22,5.48606,5.53212,5.48606,5.53212,1738.88
283,2021-02-23,5.53212,5.53212,5.48606,5.48606,1134.64
284,2021-02-24,5.48606,5.53212,5.48606,5.48606,2624.96
285,2021-02-25,5.53212,5.53212,5.53212,5.53212,1804.4
286,2021-02-26,5.48606,5.48606,5.39385,5.48606,2120.56
287,2021-03-01,5.48606,5.53212,5.48606,5.53212,1118.0
288,2021-03-02,5.48606,5.53212,5.4399,5.53212,509.6
289,2021-03-03,5.48606,5.53212,5.4399,5.53212,1561.04
290,2021-03-04,5.48606,5.53212,5.4399,5.48606,2927.6
291,2021-03-05,5.4399,5.53212,5.4399,5.4399,2369.12
292,2021-03-08,5.48606,5.57827,5.48606,5.57827,2993.12
293,2021-03-09,5.57827,5.57827,5.53212,5.57827,2556.32
294,2021-03-10,5.53212,5.53212,5.48606,5.48606,884.0
295,2021-03-11,5.48606,5.53212,5.48606,5.48606,1095.12
